record_id,parcel_number,tax_period,principal,interest,penalty,other,total,lien_number
1120766002016,112076600,2016,566.92,0.00,0.00,0.00,566.92,
2611770002016,261177000,2016,2005.91,0.00,0.00,0.00,2005.91,
4411231002013,441123100,2013,0.00,89.79,52.86,49.28,191.93,1512R13555143
3714180001986,371418000,1986,132.39,304.83,9.27,10.00,456.49,1512R86933707
6633880002016,663388000,2016,1840.74,0.00,0.00,0.00,1840.74,
5013007002016,501300700,2016,1660.16,0.00,0.00,0.00,1660.16,
2912070001996,291207000,1996,30.41,51.77,2.13,38.78,123.09,L960006834
6322254001980,632225400,1980,35.52,94.57,2.49,10.00,142.58,1506R80070611
1611989002015,161198900,2015,294.33,6.62,5.89,110.31,417.15,1603R15044884
4412339002014,441233900,2014,261.97,29.47,18.34,158.07,467.85,1505R14044398
4721505002006,472150500,2006,69.94,58.22,4.90,29.18,162.24,1506R06066367
8844618852016,884461885,2016,1034.45,0.00,0.00,0.00,1034.45,
0432564002016,043256400,2016,0.01,0.00,0.00,0.00,0.01,
0712246002000,071224600,2000,273.70,375.65,19.16,143.93,812.44,1512R00815371
4914245002010,491424500,2010,0.00,0.00,0.00,833.00,833.00,
3411185002016,341118500,2016,1076.45,0.00,0.00,0.00,1076.45,
2513451102009,251345110,2009,1450.63,815.98,101.54,163.29,2531.44,1512R09685388
2731029002011,273102900,2011,568.17,217.32,39.77,172.15,997.41,1512R11615999
3310010002016,331001000,2016,345.75,0.00,0.00,0.00,345.75,
5512487002016,551248700,2016,0.01,0.00,0.00,0.00,0.01,
8715528402014,871552840,2014,0.00,4.23,4.58,94.51,103.32,PY21735342
0422705102011,042270510,2011,451.19,172.58,31.58,60.52,715.87,1512R11604927
4721114002009,472111400,2009,170.30,95.80,11.92,37.88,315.90,1512R09682026
1024845002016,102484500,2016,1250.22,0.00,0.00,0.00,1250.22,
3240834002016,324083400,2016,774.09,0.00,0.00,0.00,774.09,
4520415002014,452041500,2014,582.50,65.53,40.78,226.29,915.10,1505R14045793
2730385001998,273038500,1998,30.41,47.21,2.13,37.96,117.71,L980025457
1612048002003,161204800,2003,200.72,221.30,14.05,102.09,538.16,1512R03775172
4323704001993,432370400,1993,60.83,114.51,4.26,55.93,235.53,L930009249
2212274002016,221227400,2016,0.01,0.00,0.00,0.00,0.01,
1112406002009,111240600,2009,444.00,249.75,31.08,154.07,878.90,1512R09666114
3910960002016,391096000,2016,-15.97,0.00,0.00,0.00,-15.97,
3420061002011,342006100,2011,0.00,0.00,0.00,-23.60,-23.60,RL01030616
2820336002015,282033600,2015,166.65,5.87,4.75,102.54,279.81,1603R15054734
1620817001999,162081700,1999,106.44,155.67,7.45,72.12,341.68,1512R99836841
3221788002014,322178800,2014,0.00,0.00,0.00,77.15,77.15,1505R14027945
2922626002010,292262600,2010,170.30,80.47,11.92,70.88,333.57,1512R10648434
3643056002003,364305600,2003,0.00,0.00,0.00,160.00,160.00,
0331259002016,033125900,2016,725.10,0.00,0.00,0.00,725.10,
4042483002015,404248300,2015,143.31,3.22,2.87,100.87,250.27,1603R15068737
5711506002016,571150600,2016,1921.93,0.00,0.00,0.00,1921.93,
4510259002016,451025900,2016,1408.20,0.00,0.00,0.00,1408.20,
4413306002013,441330600,2013,578.91,117.23,40.52,65.40,802.06,1512R13555510
0431336002016,043133600,2016,11.20,0.00,0.00,0.00,11.20,
8880906242016,888090624,2016,419.94,0.00,0.00,0.00,419.94,
2922624002011,292262400,2011,187.16,71.59,13.10,72.53,344.38,1512R11618521
5011794002015,501179400,2015,1187.38,26.72,23.75,166.17,1404.02,1603R15077681
4210251002015,421025100,2015,16.61,0.37,0.33,1.04,18.35,
1411514001985,141151400,1985,622.61,1473.41,47.96,10.00,2153.98,1512R85960298
6030068002007,603006800,2007,437.93,325.16,30.66,68.83,862.58,1512R07724834
1210892001994,121089200,1994,121.65,221.71,8.52,86.94,438.82,1512R94919380
4822075002015,482207500,2015,0.00,-143.57,0.00,-86.70,-230.27,
1322643001982,132264300,1982,93.16,236.86,6.52,10.00,346.54,1512R82935589
6511120002013,651112000,2013,0.00,135.68,113.77,36.17,285.62,1512R13563966
1112923002010,111292300,2010,0.00,0.00,5.19,825.85,831.04,1512R10638957
1221684001992,122168400,1992,273.71,531.68,19.16,172.02,996.57,1512R92932665
6520759002016,652075900,2016,0.01,0.00,0.00,0.00,0.01,
1723919002004,172391900,2004,553.50,560.42,38.75,231.08,1383.75,1512R04769891
4332296002015,433229600,2015,-26.71,-1.17,0.00,0.00,-27.88,
3712786002015,371278600,2015,27.74,0.63,0.55,1.74,30.66,
4310853002016,431085300,2016,37.79,0.00,0.00,0.00,37.79,
8880811332016,888081133,2016,1609.77,0.00,0.00,0.00,1609.77,
3953511002016,395351100,2016,3752.86,0.00,0.00,0.00,3752.86,
2814162002001,281416200,2001,57.79,74.11,4.05,48.07,184.02,L010075012
1620934002000,162093400,2000,0.00,212.31,11.07,63.81,287.19,1512R00824463
3310091002009,331009100,2009,76.03,42.77,5.32,45.94,170.06,RL00726870
1111568002016,111156800,2016,76.99,0.00,0.00,0.00,76.99,
0124379002016,012437900,2016,2869.59,0.00,0.00,0.00,2869.59,
6512724002009,651272400,2009,121.65,68.43,8.52,33.12,231.72,1506R09066894
5142329001990,514232900,1990,335.73,692.44,23.50,73.70,1125.37,1511R90523382
8865630002016,886563000,2016,314.96,0.00,0.00,0.00,314.96,
4310094002007,431009400,2007,179.42,133.22,12.56,82.14,407.34,1512R07720807
6042043002016,604204300,2016,545.92,0.00,0.00,0.00,545.92,
3313183002015,331318300,2015,591.74,13.32,11.83,128.92,745.81,1603R15059211
1911949002014,191194900,2014,744.30,83.73,52.10,260.73,1140.86,1505R14017235
2310299002015,231029900,2015,642.07,14.45,12.84,132.06,801.42,1603R15050422
2811557002015,281155700,2015,40.07,0.90,0.80,2.51,44.28,
8880377362016,888037736,2016,0.01,0.00,0.00,0.00,0.01,
8715426102005,871542610,2005,0.00,131.31,12.13,49.42,192.86,1512R05750548
1621134001994,162113400,1994,27.37,49.88,1.92,37.85,117.02,L940071753
0621352002014,062135200,2014,1232.80,138.69,86.30,364.71,1822.50,1505R14004584
1910631002001,191063100,2001,15.20,19.49,1.06,6.44,42.19,
8715653801997,871565380,1997,705.55,1158.86,49.39,136.03,2049.83,1511R97520356
0712390002016,071239000,2016,692.90,0.00,0.00,0.00,692.90,
2320898002008,232089800,2008,267.62,174.62,18.73,48.86,509.83,1512R08693518
0431905002016,043190500,2016,1005.06,0.00,0.00,0.00,1005.06,
3620451001993,362045100,1993,243.29,458.00,17.03,152.90,871.22,1512R93942642
3931272002016,393127200,2016,614.51,0.00,0.00,0.00,614.51,
1621437002012,162143700,2012,34.71,10.15,2.43,32.11,79.40,RL01155052
5921938001999,592193800,1999,182.47,266.86,12.77,106.78,568.88,1512R99827562
0710056002001,071005600,2001,121.65,156.01,8.52,75.11,361.29,1512R01807014
1110167001982,111016700,1982,426.95,1085.52,29.89,10.00,1552.36,1512R82948196
3641144002016,364114400,2016,982.66,0.00,0.00,0.00,982.66,
3723923001984,372392300,1984,111.99,271.24,7.84,355.20,746.27,1511R84519001
1921252001978,192125200,1978,27.30,75.97,1.91,6.50,111.68,R780039298
1912841002003,191284100,2003,18.25,20.12,1.28,7.14,46.79,
2520050002015,252005000,2015,70.89,1.59,1.42,4.43,78.33,
0711890002009,071189000,2009,152.05,85.53,10.64,68.28,316.50,1512R09664866
5324375002016,532437500,2016,3264.33,0.00,0.00,0.00,3264.33,
3650935002016,365093500,2016,991.06,0.00,0.00,0.00,991.06,
2430940002012,243094000,2012,447.75,130.97,31.34,57.80,667.86,1512R12580342
8880000752016,888000075,2016,13251.91,0.00,0.00,0.00,13251.91,
8885813602008,888581360,2008,0.00,631.17,88.13,139.89,859.19,1512R08706426
0113557002016,011355700,2016,0.01,0.00,0.00,0.00,0.01,
3310515002000,331051500,2000,450.09,617.75,31.51,1447.16,2546.51,1512R00818004
0711219002015,071121900,2015,47.77,1.08,0.96,2.99,52.80,
3711612002015,371161200,2015,55.48,1.25,1.11,3.47,61.31,
1621745002014,162174500,2014,275.84,31.03,19.31,161.02,487.20,1505R14014784
4031751002016,403175100,2016,855.28,0.00,0.00,0.00,855.28,
0713274002010,071327400,2010,45.62,21.55,3.19,36.26,106.62,RL00842845
1931947002008,193194700,2008,30.41,19.84,2.13,33.03,85.41,RL00614554
8885201422016,888520142,2016,-427.07,0.00,0.00,0.00,-427.07,
0711256002009,071125600,2009,133.81,75.26,9.37,62.92,281.36,1512R09664809
3820353002011,382035300,2011,0.00,127.04,32.75,52.37,212.16,1512R11623880
6626126002014,662612600,2014,2282.22,256.75,159.76,588.08,3286.81,1505R14057958
2431196002014,243119600,2014,0.00,15.51,10.34,93.45,119.30,PY20938308
1612046002003,161204600,2003,188.55,207.87,13.20,97.33,506.95,1512R03775170
4913997002011,491399700,2011,618.30,236.50,43.28,185.25,1083.33,1511R11522864
